"date","open","close","low","high","volume","count","amount"
"2025-03-14 22:00:00",1904.340000000,1906.200000000,1877.400000000,1910.920000000,"4486720.13589083",3229,"2364.877898855028"
"2025-03-14 22:30:00",1907.340000000,1917.010000000,1907.180000000,1923.470000000,"2022381.00870566",1502,"1055.4804747028431"
"2025-03-14 23:00:00",1919.700000000,1933.590000000,1918.610000000,1941.700000000,"2988435.23666768",2156,"1547.1781121952909"
"2025-03-14 23:30:00",1937.430000000,1919.980000000,1914.070000000,1940.990000000,"2917776.71303526",1739,"1512.026323941197"
"2025-03-15 00:00:00",1922.720000000,1926.530000000,1913.970000000,1929.090000000,"1190079.356167",627,"619.7979791554274"
"2025-03-15 00:30:00",1924.400000000,1934.900000000,1919.930000000,1937.530000000,"1123929.21511367",810,"582.7678938973803"
"2025-03-15 02:00:00",1934.480000000,1930.120000000,1927.930000000,1939.890000000,"542291.0643266",508,"280.5744007396175"
"2025-03-15 02:30:00",1931.140000000,1934.100000000,1930.960000000,1945.060000000,"1055742.67239789",654,"544.8132668236916"
"2025-03-15 03:00:00",1934.660000000,1936.140000000,1931.730000000,1945.080000000,"667015.968637",406,"344.08857305801695"
"2025-03-15 03:30:00",1935.740000000,1932.820000000,1932.820000000,1938.670000000,"156790.489798",109,"80.94222332091766"
"2025-03-15 04:00:00",1933.210000000,1925.090000000,1924.460000000,1934.450000000,"356742.827726",276,"184.9904"
"2025-03-15 04:30:00",1923.180000000,1927.020000000,1919.780000000,1927.020000000,"672484.511865",363,"349.56242420068145"
"2025-03-15 05:00:00",1924.700000000,1919.550000000,1918.330000000,1925.400000000,"177529.033279",185,"92.3741"
"2025-03-15 05:30:00",1917.970000000,1921.580000000,1915.330000000,1923.900000000,"679959.950512",309,"354.21478445133414"
"2025-03-15 06:00:00",1922.170000000,1923.820000000,1920.120000000,1925.900000000,"159109.39826576",143,"82.73596934159903"
"2025-03-15 06:30:00",1924.770000000,1924.910000000,1923.270000000,1927.090000000,"85454.62151061",95,"44.38506527193275"
"2025-03-15 07:00:00",1926.830000000,1919.070000000,1917.930000000,1926.830000000,"631914.546398",358,"328.76631258928836"
"2025-03-15 07:30:00",1918.700000000,1909.680000000,1908.780000000,1918.940000000,"485830.80418",498,"253.9246368284573"
"2025-03-15 08:00:00",1911.230000000,1913.530000000,1909.400000000,1914.260000000,"166908.987917",383,"87.27774779157062"
"2025-03-15 08:30:00",1916.030000000,1913.910000000,1911.560000000,1917.760000000,"252596.40943",219,"131.90900464867124"
"2025-03-15 09:00:00",1915.970000000,1918.410000000,1913.720000000,1919.990000000,"359482.21161384",170,"187.5158059594779"
"2025-03-15 09:30:00",1916.570000000,1909.920000000,1903.620000000,1916.570000000,"341753.84969651",317,"179.0437740285346"
"2025-03-15 10:00:00",1911.480000000,1909.610000000,1905.540000000,1912.180000000,"95306.042564",149,"49.92743154832905"
"2025-03-15 10:30:00",1908.480000000,1904.510000000,1904.510000000,1908.520000000,"119513.09953721",140,"62.683005900669556"
"2025-03-15 11:00:00",1914.070000000,1920.370000000,1913.160000000,1920.780000000,"308557.62653217",233,"161.12511648049895"
"2025-03-15 11:30:00",1921.580000000,1921.020000000,1919.350000000,1923.240000000,"79478.975876",211,"41.37869630507213"
"2025-03-15 12:00:00",1920.390000000,1916.910000000,1915.670000000,1924.080000000,"672865.69511254",313,"350.3788398806728"
"2025-03-15 12:30:00",1919.950000000,1933.580000000,1919.780000000,1935.110000000,"1334643.4579722",824,"692.1295035072393"
"2025-03-15 13:00:00",1932.640000000,1927.510000000,1926.830000000,1932.640000000,"353215.32791",177,"183.09379990364442"
"2025-03-15 13:30:00",1926.570000000,1929.860000000,1925.130000000,1931.670000000,"182902.942598",284,"94.8463074493283"
"2025-03-15 14:00:00",1928.400000000,1929.310000000,1923.230000000,1929.810000000,"164443.58271618",205,"85.38953172402579"
"2025-03-15 14:30:00",1929.120000000,1926.810000000,1926.360000000,1929.720000000,"218459.955019",201,"113.30857903232673"
"2025-03-15 15:00:00",1928.670000000,1921.670000000,1920.490000000,1928.760000000,"420346.664272",335,"218.59237683201886"
"2025-03-15 15:30:00",1918.880000000,1917.890000000,1914.610000000,1920.990000000,"349994.34712612",356,"182.52245054419572"
"2025-03-15 16:00:00",1917.540000000,1916.350000000,1912.500000000,1919.730000000,"912623.010318",434,"476.18553459911516"
"2025-03-15 16:30:00",1916.530000000,1919.690000000,1916.420000000,1921.730000000,"398610.29952027",149,"207.7085733257834"
"2025-03-15 17:00:00",1921.460000000,1916.750000000,1913.990000000,1921.750000000,"167085.88277802",215,"87.12947114823533"
"2025-03-15 17:30:00",1916.030000000,1925.000000000,1915.740000000,1926.380000000,"184709.73417249",208,"96.14180917232908"
"2025-03-15 18:00:00",1925.330000000,1921.360000000,1919.920000000,1926.260000000,"132823.84660955",176,"69.07127437827711"
"2025-03-15 18:30:00",1921.000000000,1927.210000000,1921.000000000,1929.000000000,"270412.467505",286,"140.30843178911076"
"2025-03-15 19:00:00",1927.540000000,1929.200000000,1925.560000000,1929.490000000,"408290.245893",317,"211.7770950493446"
"2025-03-15 19:30:00",1928.210000000,1928.970000000,1927.640000000,1930.250000000,"150804.154399",94,"78.16670119160557"
"2025-03-15 20:00:00",1928.780000000,1928.160000000,1926.550000000,1930.850000000,"742568.76373661",278,"384.97808101366905"
